t,n,e0,e1,e2,e3
354,2.909309970889841,41.35577206400975,0.0,0.0,42.54689768612997
355,2.8414546973619528,43.64133783439732,0.0,0.0,42.54689768612997
356,1.9999698556466405,43.64133783439732,0.0,0.0,43.23433555822268
357,1.1585127285107892,43.64133783439732,0.0,0.0,42.23433555822268
358,1.0907151180647396,43.64133783439732,0.0,0.0,42.23433555822268
359,1.85890983468789,42.64133783439732,0.0,0.0,42.83890129922876
360,2.7568221986283605,42.64133783439732,0.0,0.0,43.32193299188277
361,2.9589157234143064,42.64133783439732,0.0,0.0,43.32193299188277
362,2.27938655435957,43.867533162339235,0.0,0.0,43.32193299188277
363,1.3429906756837533,43.867533162339235,0.0,0.0,43.809084711842054
364,1.0106461398305573,43.867533162339235,0.0,0.0,42.809084711842054
365,1.5879089803780566,42.867533162339235,0.0,0.0,43.38026666940069
366,2.544046403910865,42.867533162339235,0.0,0.0,43.98240283422367
367,2.999990072686563,42.867533162339235,0.0,0.0,43.98240283422367
368,2.536547480324732,44.46494681240929,0.0,0.0,43.98240283422367
369,1.5798056089678232,44.46494681240929,0.0,0.0,44.60338427801308
370,1.0093885229001802,44.46494681240929,0.0,0.0,43.60338427801308
371,1.3497350604392238,43.46494681240929,0.0,0.0,43.94056518488644
372,2.287932184560032,43.46494681240929,0.0,0.0,44.635662431464226
373,2.9614057860636485,43.46494681240929,0.0,0.0,44.930021506461514
374,2.7509673416102896,45.503100389538034,0.0,0.0,44.930021506461514
375,1.8500929865437643,45.503100389538034,0.0,0.0,45.5547562170001
376,1.0870424483172898,45.503100389538034,0.0,0.0,44.5547562170001
377,1.1633608727884366,44.503100389538034,0.0,0.0,44.5547562170001
378,2.008881452458879,44.503100389538034,0.0,0.0,45.402781062367055
379,2.8462364656975447,44.503100389538034,0.0,0.0,45.81960755664014
380,2.9055655749932976,44.503100389538034,0.0,0.0,45.81960755664014
381,2.1323218708698284,46.33599843583291,0.0,0.0,46.56877998014335
382,1.2374220489022116,46.33599843583291,0.0,0.0,45.56877998014335
383,1.0436328783654982,46.33599843583291,0.0,0.0,45.56877998014335
384,1.7291232289465945,45.33599843583291,0.0,0.0,45.96613929702363
385,2.6636564336219597,45.33599843583291,0.0,0.0,46.506605811515314
386,2.9880269738337466,45.33599843583291,0.0,0.0,46.506605811515314
387,2.4040100708226277,46.72630424549298,0.0,0.0,46.506605811515314
388,1.4485481718850854,46.72630424549298,0.0,0.0,47.0504252596997
389,1.0000885405659936,46.72630424549298,0.0,0.0,46.0504252596997
390,1.4709428937225737,45.72630424549298,0.0,0.0,46.52123792683626
391,2.4282099105187687,45.72630424549298,0.0,0.0,47.1720225500065
392,2.9917827103751873,45.72630424549298,0.0,0.0,47.4041164877732
393,2.6435150601529656,47.52346107016271,0.0,0.0,47.4041164877732
394,1.7036026313478567,47.52346107016271,0.0,0.0,47.97354374779444
395,1.0361965763750303,47.52346107016271,0.0,0.0,46.97354374779444
396,1.254906944275786,46.52346107016271,0.0,0.0,47.18461409186552
397,2.1586524314367077,46.52346107016271,0.0,0.0,47.90478341699622
398,2.916533604797894,46.52346107016271,0.0,0.0,48.255873366598145
399,2.831758008719173,48.780009272111975,0.0,0.0,48.255873366598145
400,1.9822679352726291,48.780009272111975,0.0,0.0,48.93553909443741
